"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1968","united","1958",351.3924361,"ai","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1969","united","1972",87.42,"ai","t","medial",0,0,0,0,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1970","united","1983",42.33,"ai","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1971","united","2001",60.75,"ai","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1972","university","1958",313.13,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1973","university","2018",252.7422466,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1974","unnoticed","1995",126.6011404,"ou","t","medial",0,0,1,1,0,0,0,1,1,0,0,0,0,0,"affricated"
"1975","unprecedented","2005",27.26741378,"ɛ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1976","upright","1957",338.2790533,"ai","t","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1977","ups","2002",193.0416569,"ʌ","p","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1978","usefulness","1970",179.8161531,"u","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1979","utmost","1972",130.5659734,"ou","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1980","utmost","1972",130.5659734,"ʌ","t","final",0,0,0,1,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1981","vast","1983",133.6,"ɑ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1982","verse","2015",107.0075207,"ɜ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1983","verse","2018",19.05061406,"ɜ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1984","veterans","1994",25.89576405,"ɛ","t","medial",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"1985","veterans","1994",73.54380405,"ɛ","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1986","veterans","1995",26.98284128,"ɛ","t","medial",1,1,1,1,0,0,0,1,1,0,0,0,0,0,"affricated"
"1987","veterans","2015",129.9872735,"ɛ","t","medial",0,0,1,1,0,0,0,1,1,0,0,0,0,0,"affricated"
"1988","victim","2018",182.6120195,"ɪ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1989","Victoria","2015",19.49999579,"ɪ","k","medial",0,0,0,0,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1990","Victoria","2015",280.7820073,"ɪ","k","medial",0,0,0,0,1,1,1,0,0,0,0,0,0,0,"unreleased"
"1991","victory","1995",50.2133747,"ɪ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1992","viscious","2005",31.8315791,"ɪ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1993","vital","2010",215.1833644,"ai","t","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1994","voice","1994",317.778307,"ɔɪ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1995","wait","1994",34.96,"ei","t","final",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1996","walks","2010",178.7779863,"ɔ","k","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1997","wasteground","1995",237.4480253,"ei","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1998","watch","1957",24.16,"ɒ","tʃ","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1999","watching","1988",267.8494237,"ɒ","tʃ","medial",0,1,1,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"2000","watching","1994",24.98,"ɒ","tʃ","medial",0,0,0,0,0,0,0,0,0,1,1,1,0,0,"spirantised"
"2001","watching","1995",35.25212728,"ɒ","tʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2002","watching","2015",262.1149714,"ɒ","tʃ","medial",0,0,0,0,0,0,0,0,0,1,1,0,1,0,"spirantised"
"2003","water","1975",176.7149958,"ɔ","t","medial",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"2004","waters","1988",165.64,"ɔ","t","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2005","weak","2000",257.42,"i","k","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2006","week","2010",189.9050529,"i","k","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2007","weeks","1958",96.61,"i","k","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2008","weeks","1983",21.91727755,"i","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2009","weeks","2018",38.01434731,"i","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
